gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2521132324	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e8779ff8-0e35-4873-96dc-94864461e18b	https://images.ala.org.au/image/e8779ff8-0e35-4873-96dc-94864461e18b	Lepus capensis				2019-11-13T23:35:11Z	janette hannan				
2521122682	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7cdc1593-e33e-475a-a809-7904ca8d484f	https://images.ala.org.au/image/7cdc1593-e33e-475a-a809-7904ca8d484f	Lepus capensis				2019-11-13T23:35:14Z	Michael Bedingfield				
2521122682	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d1e87c64-b25a-4d3a-b637-d6af2248fca5	https://images.ala.org.au/image/d1e87c64-b25a-4d3a-b637-d6af2248fca5	Lepus capensis				2019-11-13T23:35:15Z	Michael Bedingfield				
2521118926	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=faa56f62-a12f-49b5-931d-6fcd619c23ab	https://images.ala.org.au/image/faa56f62-a12f-49b5-931d-6fcd619c23ab	Lepus capensis				2019-11-13T23:35:13Z	John Bundock				
2460051355	StillImage	image/jpeg	https://static.inaturalist.org/photos/56348886/original.jpeg?1573850329	https://www.inaturalist.org/photos/56348886					2010-10-27T23:17:10Z	Ehsan Moqanaki		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehsan Moqanaki
2456514641	StillImage	image/jpeg	https://static.inaturalist.org/photos/55421397/original.jpg?1572621396	https://www.inaturalist.org/photos/55421397					2019-11-01T14:30:28Z	Philippa Clemo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Philippa Clemo
2456514641	StillImage	image/jpeg	https://static.inaturalist.org/photos/55421410/original.jpg?1572621412	https://www.inaturalist.org/photos/55421410					2019-11-01T14:30:28Z	Philippa Clemo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Philippa Clemo
2447973800	StillImage	image/jpeg	https://static.inaturalist.org/photos/55195358/original.jpg?1572294789	https://www.inaturalist.org/photos/55195358					2019-09-26T20:31:08Z	Jenny		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jenny
2432658629	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=5a83e627-f78e-49d4-a9b8-f925e6db7643	https://images.ala.org.au/image/5a83e627-f78e-49d4-a9b8-f925e6db7643	Lepus europaeus Pallas, 1778				2018-12-18T20:36:06Z	AW|questagame.com				
2432658629	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ebf84468-d931-4d9b-8763-6fc1fcd0e498	https://images.ala.org.au/image/ebf84468-d931-4d9b-8763-6fc1fcd0e498	Lepus europaeus Pallas, 1778				2018-12-18T20:36:06Z	AW|questagame.com				
2432649140	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=fb20d3a4-c76d-4be5-9b1f-591255f76054	https://images.ala.org.au/image/fb20d3a4-c76d-4be5-9b1f-591255f76054	Lepus europaeus Pallas, 1778				2018-12-18T19:27:25Z	HappyChaos|questagame.com				
