gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
1317852687																										http://n2t.net/ark:/65665/31cc2e807-8a03-4425-a6cb-05d5a90f28e4																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31cc2e807-8a03-4425-a6cb-05d5a90f28e4	367948	1509	H. Herbert	1			Female						Skin; Skull																					97	97	1965	4	7	7 Apr 1965	Thick bush									Africa, Botswana	Africa				Botswana					Aha Hills, 10 Mi N												-19.87	21.02						19 52 -- S	021 01 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317846621																										http://n2t.net/ark:/65665/31c7c5a13-41bc-4877-8e38-a84afe8e8809																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31c7c5a13-41bc-4877-8e38-a84afe8e8809	365781	453	J. Lingebach	1			Male						Skin; Skull																					238	238	1964	8	25	25 Aug 1964	Tree savanna									Africa, Mozambique, Manica And Sofala	Africa				Mozambique		Manica And Sofala			Vila Gouveia												-18.07	33.18						18 04 -- S	033 11 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317812152																										http://n2t.net/ark:/65665/31af4581d-3aa8-4c26-9a98-8ec631171c05																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31af4581d-3aa8-4c26-9a98-8ec631171c05	162150	6003	J. Loring	1			Female						Skin; Skull																					117	117	1909	4	27	27 Apr 1909										Africa, Kenya	Africa				Kenya					Kapiti Plains																																																																		Lepus microtis microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis	microtis	subspecies									
1317809500																										http://n2t.net/ark:/65665/31ad575ae-1dcf-4c43-a8ca-d97c393540af																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31ad575ae-1dcf-4c43-a8ca-d97c393540af	367935	1158	R. Davis	1			Male						Skin; Skull																					63	63	1965	3	4	4 Mar 1965	Bush savanna (open)									Africa, Botswana	Africa				Botswana					Maun, 6 Mi N												-19.93	23.48						19 56 -- S	023 29 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317807091																										http://n2t.net/ark:/65665/31aba92fb-87d1-4031-974c-4ba36fba4a9d																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31aba92fb-87d1-4031-974c-4ba36fba4a9d	425463	3998	T. Liversedge	1			Male						Skin; Skull																					182	182	1967	7	1	1 Jul 1967	Open bush									Africa, Botswana	Africa				Botswana					Seronga												-18.8	22.4						18 48 -- S	022 24 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317761813																										http://n2t.net/ark:/65665/318bc7782-0d6b-47bb-baf9-9297887a7126																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/318bc7782-0d6b-47bb-baf9-9297887a7126	367940	1398	H. Herbert	1			Female						Skin; Skull																					79	79	1965	3	20	20 Mar 1965	Acacia bush									Africa, Botswana	Africa				Botswana					Tsau												-20.15	22.47						20 09 -- S	022 28 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317749531																										http://n2t.net/ark:/65665/3182f7348-f474-4c9e-9299-8ce513d704b2																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/3182f7348-f474-4c9e-9299-8ce513d704b2	352277	754	R. Cole	1			Female						Skin; Skull																					44	44	1964	2	13	13 Feb 1964	Grass and acacia bush									Africa, Mozambique, Gaza	Africa				Mozambique		Gaza			Chigubo, 30 Km WNW												-23.52	33.32						23 31 -- S	033 19 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317747151																										http://n2t.net/ark:/65665/3181886b4-8389-485f-9940-6d374f6d88d1																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/3181886b4-8389-485f-9940-6d374f6d88d1	365745	66	R. Davis	1			Female						Skin; Skull																					202	202	1964	7	20	20 Jul 1964	Low bush									Africa, Mozambique, Tete	Africa				Mozambique		Tete			Tete, 2 Mi SE												-16.2	33.63						16 12 -- S	033 38 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317618253																										http://n2t.net/ark:/65665/31263554e-0404-4607-ae42-adb0fe58d166																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/31263554e-0404-4607-ae42-adb0fe58d166	352284	1369	R. Cole	1			Female						Skin; Skull																					115	115	1964	4	24	24 Apr 1964	Short grass near corrals									Africa, Mozambique, Inhambane	Africa				Mozambique		Inhambane			Panda, 14 Km ESE												-24.1	34.78						24 06 -- S	034 47 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
1317606522																										http://n2t.net/ark:/65665/311dec515-9ecd-4243-8de0-6603b7e9b826																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			USNM	Mammals	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/311dec515-9ecd-4243-8de0-6603b7e9b826	384706	1678	A. Silberstein	1			Male						Skin; Skull																					14	14	1967	1	14	14 Jan 1967										Africa, South Africa, Northern Province	Africa				South Africa		Northern Province			Tshipise, 1 Mi NE, Bank Of Njelele River												-22.6	30.2						22 36 -- S	030 12 -- E	Degrees Minutes Seconds																																													Lepus microtis							Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Lagomorpha, Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		microtis											
