gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1321678398	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m306135fe1-39f5-45eb-a968-0a5b718d4f84		Ledger Volume 32: USNM 162141-162165	Ledger Volume 32: USNM 162141-162165						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321647157	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m350e8e79c-6e76-465f-8525-4e7c012c2fe0		Ledger Volume 75: USNM 384676-384700	Ledger Volume 75: USNM 384676-384700						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321627781	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m306135fe1-39f5-45eb-a968-0a5b718d4f84		Ledger Volume 32: USNM 162141-162165	Ledger Volume 32: USNM 162141-162165						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321603570	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3f1b6dd4c-58dc-4cd5-9976-605725bacf72		Ledger Volume 32: USNM 163641-163665	Ledger Volume 32: USNM 163641-163665						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321598275	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m34d9e1089-23d5-4d76-8f84-b9ae01f27773		Ledger Volume 32: USNM 161691-161715	Ledger Volume 32: USNM 161691-161715						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321594642	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m313010d0d-1d80-4945-9be1-bbfb0b87980a		Ledger Volume 72: USNM 365751-365775	Ledger Volume 72: USNM 365751-365775						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321572617	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m330d65917-0fdc-4ff2-a9b9-8ffbd3f6358e		Ledger Volume 75: USNM 382701-382725	Ledger Volume 75: USNM 382701-382725						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321552770	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3e9d06509-cb12-4fb9-aa54-849c57182100		Ledger Volume 72: USNM 367901-367925	Ledger Volume 72: USNM 367901-367925						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321549509	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m35b679381-0d4f-4f22-a70f-8b01576b355a		Ledger Volume 32: USNM 163666-163690	Ledger Volume 32: USNM 163666-163690						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321549464	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m306135fe1-39f5-45eb-a968-0a5b718d4f84		Ledger Volume 32: USNM 162141-162165	Ledger Volume 32: USNM 162141-162165						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321547524	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m350e8e79c-6e76-465f-8525-4e7c012c2fe0		Ledger Volume 75: USNM 384676-384700	Ledger Volume 75: USNM 384676-384700						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321526352	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b7f46a76-942e-4020-a955-53a656f728d1		Ledger Volume 84: USNM 425451-425475	Ledger Volume 84: USNM 425451-425475						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321451433	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b7f46a76-942e-4020-a955-53a656f728d1		Ledger Volume 84: USNM 425451-425475	Ledger Volume 84: USNM 425451-425475						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321440181	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m32d0f697e-0bfc-4960-91a5-02841df3986e		Ledger Volume 72: USNM 368551-368575	Ledger Volume 72: USNM 368551-368575						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321429455	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m307ee696f-0237-4e43-8964-1cfac3047452		Ledger Volume 69: USNM 352276-352300	Ledger Volume 69: USNM 352276-352300						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321401587	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3fc8871e8-2000-4afd-a5a3-bee902d75aef		Ledger Volume 72: USNM 367926-367950	Ledger Volume 72: USNM 367926-367950						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321329589	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m313010d0d-1d80-4945-9be1-bbfb0b87980a		Ledger Volume 72: USNM 365751-365775	Ledger Volume 72: USNM 365751-365775						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321231060	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m306135fe1-39f5-45eb-a968-0a5b718d4f84		Ledger Volume 32: USNM 162141-162165	Ledger Volume 32: USNM 162141-162165						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321200979	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m37856e9ad-9609-4eda-9676-5180da9cf124		Ledger Volume 72: USNM 365776-365800	Ledger Volume 72: USNM 365776-365800						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321197826	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b7f46a76-942e-4020-a955-53a656f728d1		Ledger Volume 84: USNM 425451-425475	Ledger Volume 84: USNM 425451-425475						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321116037	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3fc8871e8-2000-4afd-a5a3-bee902d75aef		Ledger Volume 72: USNM 367926-367950	Ledger Volume 72: USNM 367926-367950						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321077632	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m32a3e464a-aee8-4c8e-8a0d-cd2044aabcf1		Ledger Volume 75: USNM 382726-382750	Ledger Volume 75: USNM 382726-382750						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321067005	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m35bb1f25a-dee8-464b-a089-772194d7f37e		Ledger Volume 36: USNM 182741-182765	Ledger Volume 36: USNM 182741-182765						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321053054	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m35b679381-0d4f-4f22-a70f-8b01576b355a		Ledger Volume 32: USNM 163666-163690	Ledger Volume 32: USNM 163666-163690						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1321043376	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b7f46a76-942e-4020-a955-53a656f728d1		Ledger Volume 84: USNM 425451-425475	Ledger Volume 84: USNM 425451-425475						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321039586	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m37856e9ad-9609-4eda-9676-5180da9cf124		Ledger Volume 72: USNM 365776-365800	Ledger Volume 72: USNM 365776-365800						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1321016638	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3e9d06509-cb12-4fb9-aa54-849c57182100		Ledger Volume 72: USNM 367901-367925	Ledger Volume 72: USNM 367901-367925						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1320991619	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m306135fe1-39f5-45eb-a968-0a5b718d4f84		Ledger Volume 32: USNM 162141-162165	Ledger Volume 32: USNM 162141-162165						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1320963312	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3f1b6dd4c-58dc-4cd5-9976-605725bacf72		Ledger Volume 32: USNM 163641-163665	Ledger Volume 32: USNM 163641-163665						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1320915460	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m35b679381-0d4f-4f22-a70f-8b01576b355a		Ledger Volume 32: USNM 163666-163690	Ledger Volume 32: USNM 163666-163690						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1320910259	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m35bb1f25a-dee8-464b-a089-772194d7f37e		Ledger Volume 36: USNM 182741-182765	Ledger Volume 36: USNM 182741-182765						Smithsonian Institution, NMNH, Mammals	Usage Conditions Apply	
1320890046	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3ed46c4bf-6bc6-4cba-8672-6fafa8c3112a		Ledger Volume 75: USNM 380576-380600	Ledger Volume 75: USNM 380576-380600						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1320875284	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3fc8871e8-2000-4afd-a5a3-bee902d75aef		Ledger Volume 72: USNM 367926-367950	Ledger Volume 72: USNM 367926-367950						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1320875087	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3453e3521-c218-4a51-9a61-487c5bf3fde0		Ledger Volume 94: USNM 469941-469950	Ledger Volume 94: USNM 469941-469950						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
1320810603	StillImage	jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b7f46a76-942e-4020-a955-53a656f728d1		Ledger Volume 84: USNM 425451-425475	Ledger Volume 84: USNM 425451-425475						Smithsonian Institution, NMNH, Mammals	http://creativecommons.org/publicdomain/zero/1.0/	
